,BusNum,BusKVVolt,BusName,Latitude:1,Longitude:1,SubNum,BusNomVolt
0,1,132,Glen Lyn,21.344246,-157.939889,1,132
1,2,132,Claytor,21.344246,-157.939889,1,132
2,3,132,Kumis,21.347927,-157.876274,2,132
3,4,132,Hancock,21.293143,-157.848767,3,132
4,5,132,Fieldale,21.316548,-157.845053,4,132
5,6,132,Roanoke,21.316548,-157.845053,4,132
6,7,132,Blaine,21.291518,-157.826869,5,132
7,8,132,Reusens,21.451733,-157.824227,6,132
8,9,1,Roanoke,21.273462,-157.822444,7,1
9,10,33,Roanoke,21.273462,-157.822444,7,33
10,11,11,Roanoke,21.35548,-157.821663,8,11
11,12,33,Hancock,21.32021,-157.810758,9,33
12,13,11,Hancock,21.290612,-157.788328,10,11
13,14,33,Bus 14,21.395084,-157.758188,11,33
14,15,33,Bus 15,21.395084,-157.758188,11,33
15,16,33,Bus 16,21.311063,-157.750269,12,33
16,17,33,Bus 17,21.335013,-157.710924,13,33
17,18,33,Bus 18,21.294518,-157.688748,14,33
18,19,33,Bus 19,21.417374,-157.936867,15,33
19,20,33,Bus 20,21.482531,-157.934221,16,33
20,21,33,Bus 21,21.406053,-157.884952,17,33
21,22,33,Bus 22,21.417469,-157.983838,18,33
22,23,33,Bus 23,21.417469,-157.983838,18,33
23,24,33,Bus 24,21.363106,-158.082206,19,33
24,25,33,Bus 25,21.344756,-158.022282,20,33
25,26,33,Bus 26,21.344756,-158.022282,20,33
26,27,33,Cloverdl,21.658692,-157.978792,21,33
27,28,132,Cloverdl,21.621367,-158.048011,22,132
28,29,33,Bus 29,21.618479,-157.943953,23,33
29,30,33,Bus 30,21.57139,-157.979384,24,33
