,BusNum,BusNum:1,LineCircuit,LineR,LineX,BranchDeviceType,LineStatus,Latitude,Longitude,Latitude:1,Longitude:1,BusNomVolt,LineLimitPercent,LineMVA
0,1,2,1,0.0192,0.0575,Line,Closed,21.344246,-157.939889,21.344246,-157.939889,138,34.33253575,79.92614558
1,1,3,1,0.0452,0.1652,Line,Closed,21.344246,-157.939889,21.347927,-157.876274,138,34.33253575,79.92614558
2,2,4,1,0.057,0.1737,Line,Closed,21.344246,-157.939889,21.293143,-157.848767,138,12.78297703,22.72813312
3,2,5,1,0.0472,0.1983,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,138,30.56705011,66.33050108
4,2,6,1,0.0581,0.1763,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,138,30.56705011,66.33050108
5,3,4,1,0.0132,0.0379,Line,Closed,21.347927,-157.876274,21.293143,-157.848767,138,21.85333775,61.53899876
6,4,6,1,0.0119,0.0414,Line,Closed,21.293143,-157.848767,21.316548,-157.845053,138,21.85333775,61.53899876
7,4,12,1,0.0000001,0.25600001,Transformer,Closed,21.293143,-157.848767,21.32021,-157.810758,69,15.29121727,9.43468081
8,5,7,1,0.046,0.116,Line,Closed,21.316548,-157.845053,21.291518,-157.826869,69,15.29121727,9.43468081
9,6,7,1,0.0267,0.082,Line,Closed,21.316548,-157.845053,21.291518,-157.826869,69,36.77865588,37.25677883
10,6,8,1,0.012,0.042,Line,Closed,21.316548,-157.845053,21.451733,-157.824227,69,36.77865588,37.25677883
11,6,9,1,0.0000001,0.208,Transformer,Closed,21.316548,-157.845053,21.273462,-157.822444,69,36.77865588,37.25677883
12,6,10,1,0.0000001,0.55599999,Transformer,Closed,21.316548,-157.845053,21.273462,-157.822444,69,54.97902862,45.08280308
13,6,28,1,0.0169,0.0599,Line,Closed,21.316548,-157.845053,21.621367,-158.048011,69,50.36118315,39.18100035
14,8,28,1,0.0636,0.2,Line,Closed,21.451733,-157.824227,21.621367,-158.048011,69,54.97902862,45.08280308
15,9,10,1,0.0000001,0.11,Line,Closed,21.273462,-157.822444,21.273462,-157.822444,69,55.33626143,36.96462168
16,9,11,1,0.0000001,0.208,Line,Closed,21.273462,-157.822444,21.35548,-157.821663,69,31.39585766,29.76327349
17,10,17,1,0.0324,0.0845,Line,Closed,21.273462,-157.822444,21.335013,-157.710924,69,69.34580141,63.52075469
18,10,20,1,0.0936,0.20900001,Line,Closed,21.273462,-157.822444,21.482531,-157.934221,69,38.78425012,19.00428293
19,10,21,1,0.0348,0.0749,Line,Closed,21.273462,-157.822444,21.406053,-157.884952,69,69.34580141,63.52075469
20,10,22,1,0.0727,0.1499,Line,Closed,21.273462,-157.822444,21.417469,-157.983838,69,52.08051583,43.12266758
21,12,13,1,0.0000001,0.14,Line,Closed,21.32021,-157.810758,21.290612,-157.788328,69,41.22263683,35.03924229
22,12,14,1,0.1231,0.2559,Line,Closed,21.32021,-157.810758,21.395084,-157.758188,69,41.22263683,35.03924229
23,12,15,1,0.0662,0.1304,Line,Closed,21.32021,-157.810758,21.395084,-157.758188,69,69.34580141,63.52075469
24,12,16,1,0.0945,0.1987,Line,Closed,21.32021,-157.810758,21.311063,-157.750269,69,27.23833783,14.49079587
25,14,15,1,0.221,0.1997,Line,Closed,21.395084,-157.758188,21.395084,-157.758188,138,40.32226891,68.83011373
26,15,18,1,0.1073,0.2185,Line,Closed,21.395084,-157.758188,21.294518,-157.688748,138,29.57670523,48.06214599
27,15,23,1,0.1,0.20200001,Line,Closed,21.395084,-157.758188,21.417469,-157.983838,69,42.67545118,37.98115094
28,16,17,1,0.0524,0.19230001,Line,Closed,21.311063,-157.750269,21.335013,-157.710924,69,56.24158708,33.07005318
29,18,19,1,0.0639,0.1292,Line,Closed,21.294518,-157.688748,21.417374,-157.936867,69,56.24158708,33.07005318
30,19,20,1,0.034,0.068,Line,Closed,21.417374,-157.936867,21.482531,-157.934221,69,61.88993006,24.8797525
31,21,22,1,0.0116,0.0236,Line,Closed,21.406053,-157.884952,21.417469,-157.983838,69,61.88993006,24.8797525
32,22,24,1,0.115,0.17900001,Line,Closed,21.417469,-157.983838,21.363106,-158.082206,69,8.93138931,4.46569466
33,23,24,1,0.132,0.27000001,Line,Closed,21.417469,-157.983838,21.363106,-158.082206,69,57.26842202,23.02190622
34,24,25,1,0.1885,0.3292,Line,Closed,21.363106,-158.082206,21.344756,-158.022282,69,61.88993006,24.8797525
35,25,26,1,0.25440001,0.38,Line,Closed,21.344756,-158.022282,21.344756,-158.022282,69,57.26842202,23.02190622
36,25,27,1,0.1093,0.2087,Line,Closed,21.344756,-158.022282,21.658692,-157.978792,69,57.26842202,23.02190622
37,28,27,1,0.0000001,0.396,Transformer,Closed,21.621367,-158.048011,21.658692,-157.978792,69,39.61676113,35.65508407
38,27,29,1,0.2198,0.41530001,Line,Closed,21.658692,-157.978792,21.618479,-157.943953,69,39.61676113,35.65508407
39,27,30,1,0.3202,0.6027,Line,Closed,21.658692,-157.978792,21.57139,-157.979384,69,7.89510601,6.70294482
40,29,30,1,0.23989999,0.4533,Line,Closed,21.57139,-157.979384,21.57139,-157.979384,138,15.7551575,26.67348099
