,BusNum,LoadID,LoadMW,LoadMVR,LoadStatus,Latitude:1,Longitude:1,BusNomVolt
0,2,1,21.69999927,12.70000041,Closed,21.344246,-157.939889,69
1,3,1,2.40000002,1.20000001,Closed,21.347927,-157.876274,69
2,4,1,7.59999976,1.60000008,Closed,21.293143,-157.848767,69
3,5,1,94.19999719,18.99999976,Closed,21.316548,-157.845053,69
4,7,1,22.80000001,10.89999974,Closed,21.291518,-157.826869,69
5,8,1,30.00000119,30.00000119,Closed,21.451733,-157.824227,69
6,10,1,5.79999983,1.99999996,Closed,21.273462,-157.822444,69
7,12,1,11.20000035,7.5000003,Closed,21.35548,-157.821663,69
8,14,1,6.1999999,1.60000008,Closed,21.32021,-157.810758,69
9,15,1,8.20000023,2.50000004,Closed,21.290612,-157.788328,69
10,16,1,3.50000001,1.79999992,Closed,21.395084,-157.758188,69
11,17,1,9.00000036,5.79999983,Closed,21.311063,-157.750269,69
12,18,1,3.20000015,0.89999996,Closed,21.335013,-157.710924,69
13,19,1,9.49999988,3.40000018,Closed,21.294518,-157.688748,69
14,20,1,2.19999999,0.70000002,Closed,21.417374,-157.936867,69
15,21,1,17.4999997,11.20000035,Closed,21.482531,-157.934221,69
16,23,1,3.20000015,1.60000008,Closed,21.406053,-157.884952,69
17,24,1,8.69999975,6.70000017,Closed,21.417469,-157.983838,69
18,26,1,3.50000001,2.3,Closed,21.363106,-158.082206,69
19,29,1,2.40000002,0.89999996,Closed,21.344756,-158.022282,69
20,30,1,10.59999987,1.89999994,Closed,21.658692,-157.978792,69
