,BusNum,BusKVVolt,BusName,Latitude:1,Longitude:1,SubNum,BusNomVolt
1,1,141.17364,WINNSBORO 0,34.37,-81.09,1,138
2,2,141.11783,WINNSBORO 1,34.37,-81.09,1,138
3,3,140.81649,COLUMBIA 11 0,34.14,-80.89,1,138
4,4,140.60914,COLUMBIA 11 1,34.14,-80.89,1,138
5,5,142.57007,SMYRNA 0,35.01,-81.39,1,138
6,6,142.56568,SMYRNA 1,35.01,-81.39,1,138
7,7,357.96361,EASTOVER 2 0,33.83,-80.62,1,345
8,8,142.71195,EASTOVER 2 1,33.83,-80.62,1,138
9,9,14.352,EASTOVER 2 2,33.83,-80.62,1,13.8
10,10,142.76366,CHAPPELLS 2 0,34.19,-81.87,1,138
11,11,142.76021,CHAPPELLS 2 1,34.19,-81.87,1,138
12,12,143.65036,PELZER 0,34.64,-82.41,1,138
13,13,143.60965,PELZER 1,34.64,-82.41,1,138
14,14,358.8648,SENECA 3 0,34.79,-82.9,1,345
15,15,143.49999,SENECA 3 1,34.79,-82.9,1,138
16,16,14.352,SENECA 3 2,34.79,-82.9,1,13.8
17,17,14.352,SENECA 3 3,34.79,-82.9,1,13.8
18,18,14.352,SENECA 3 4,34.79,-82.9,1,13.8
19,19,143.07435,MONETTA 0,33.81,-81.59,1,138
20,20,143.06773,MONETTA 1,33.81,-81.59,1,138
21,21,141.43996,LEXINGTON 2 0,34,-81.27,1,138
22,22,141.2365,LEXINGTON 2 1,34,-81.27,1,138
23,23,358.8482,WELLFORD 0,34.93,-82.1,1,345
24,24,142.8134,WELLFORD 1,34.93,-82.1,1,138
25,25,142.81066,WELLFORD 2,34.93,-82.1,1,138
26,26,142.78771,WELLFORD 3,34.93,-82.1,1,138
27,27,147.79523,LAURENS 0,34.5,-82.05,1,138
28,28,147.7144,LAURENS 1,34.5,-82.05,1,138
29,29,141.04896,COLUMBIA 10 0,33.93,-80.95,1,138
30,30,140.90603,COLUMBIA 10 1,33.93,-80.95,1,138
31,31,146.10493,WINDSOR 0,33.48,-81.51,1,138
32,32,146.09132,WINDSOR 1,33.48,-81.51,1,138
33,33,141.72484,PROSPERITY 0,34.15,-81.51,1,138
34,34,141.68983,PROSPERITY 1,34.15,-81.51,1,138
35,35,143.64308,NORTH AUGUSTA 2 0,33.61,-81.98,1,138
