,BusNum,BusKVVolt,BusName,Latitude:1,Longitude:1,SubNum,BusNomVolt
0,1,137.10924785,ALOHA138,21.344246,-157.939889,1,138.0
1,2,68.39452602,ALOHA69,21.344246,-157.939889,1,69.0
2,3,67.93378807,FLOWER69,21.347927,-157.876274,2,69.0
3,4,67.53719093,WAVE69,21.293143,-157.848767,3,69.0
4,5,136.47988664,HONOLULU138,21.316548,-157.845053,4,138.0
5,6,67.70324261,HONOLULU69,21.316548,-157.845053,4,69.0
6,7,67.66020032,SURF69,21.291518,-157.826869,5,69.0
7,8,67.52468828,KANEOHE69,21.451733,-157.824227,6,69.0
8,9,136.17395301,TURTLE138,21.273462,-157.822444,7,138.0
9,10,67.68492691,TURTLE69,21.273462,-157.822444,7,69.0
10,11,67.26889327,MAHALO69,21.35548,-157.821663,8,69.0
11,12,67.43555828,LYCHEE69,21.32021,-157.810758,9,69.0
12,13,67.54775662,COCONUT69,21.290612,-157.788328,10,69.0
13,14,135.75944856,KAILUA138,21.395084,-157.758188,11,138.0
14,15,67.52554873,KAILUA69,21.395084,-157.758188,11,69.0
15,16,67.77087838,PALM69,21.311063,-157.750269,12,69.0
16,17,67.30920005,WAIMANALO69,21.335013,-157.710924,13,69.0
17,18,67.34127016,VOLCANO69,21.294518,-157.688748,14,69.0
18,19,68.3999763,PEARL CITY69,21.417374,-157.936867,15,69.0
19,20,68.28656203,MILILANI69,21.482531,-157.934221,16,69.0
20,21,67.61601047,AIEA69,21.406053,-157.884952,17,69.0
21,22,137.50284269,WAIPAHU138,21.417469,-157.983838,18,138.0
22,23,69.0,WAIPAHU69,21.417469,-157.983838,18,69.0
23,24,68.54473491,KAPOLEI69,21.363106,-158.082206,19,69.0
24,25,137.53274204,EWA BEACH138,21.344756,-158.022282,20,138.0
25,26,68.66221526,EWA BEACH69,21.344756,-158.022282,20,69.0
26,27,69.23572923,KAHUKU69,21.658692,-157.978792,21,69.0
27,28,69.0,HALEIWA69,21.621367,-158.048011,22,69.0
28,29,68.68145128,LAIE69,21.618479,-157.943953,23,69.0
29,30,68.71008495,WAHIAWA69,21.57139,-157.979384,24,69.0
30,31,68.66983412,WAIALUA69,21.56364,-158.185151,25,69.0
31,32,68.39395147,HAUULA69,21.55775,-157.905396,26,69.0
32,33,68.69998852,WAIANAE69,21.468626,-158.166919,27,69.0
33,34,69.0,SCHOFIELD69,21.4785,-158.0581,28,69.0
34,35,138.0,KALAELOA138,21.303419,-158.106528,29,138.0
35,36,68.7634954,COGEN69,21.311667,-158.113889,30,69.0
36,37,138.0,KAHE138,21.356395,-158.128853,31,138.0
