,BusNum,LoadID,LoadMW,LoadMVR,LoadStatus,Latitude:1,Longitude:1,BusNomVolt
0,2,1,60.69999933,0.0,Closed,21.344246,-157.939889,69.0
1,3,1,59.39000249,0.0,Closed,21.347927,-157.876274,69.0
2,4,1,22.47000039,0.0,Closed,21.293143,-157.848767,69.0
3,6,1,27.45999992,0.0,Closed,21.316548,-157.845053,69.0
4,7,1,37.00999916,0.0,Closed,21.291518,-157.826869,69.0
5,8,1,65.10000229,0.0,Closed,21.451733,-157.824227,69.0
6,10,1,37.76000142,0.0,Closed,21.273462,-157.822444,69.0
7,11,1,65.54999948,0.0,Closed,21.35548,-157.821663,69.0
8,12,1,54.00999784,0.0,Closed,21.32021,-157.810758,69.0
9,13,1,59.24000144,0.0,Closed,21.290612,-157.788328,69.0
10,15,1,60.90000272,0.0,Closed,21.395084,-157.758188,69.0
11,16,1,23.82999957,0.0,Closed,21.311063,-157.750269,69.0
12,17,1,12.03999966,0.0,Closed,21.335013,-157.710924,69.0
13,18,1,36.32000089,0.0,Closed,21.294518,-157.688748,69.0
14,19,1,48.60000014,0.0,Closed,21.417374,-157.936867,69.0
15,20,1,64.95000124,0.0,Closed,21.482531,-157.934221,69.0
16,21,1,48.33999872,0.0,Closed,21.406053,-157.884952,69.0
17,23,1,86.75000072,0.0,Closed,21.417469,-157.983838,69.0
18,24,1,46.57999873,0.0,Closed,21.363106,-158.082206,69.0
19,26,1,75.27999878,0.0,Closed,21.344756,-158.022282,69.0
20,27,1,3.95000018,0.0,Closed,21.658692,-157.978792,69.0
21,28,1,8.82000029,0.0,Closed,21.621367,-158.048011,69.0
22,29,1,7.69999996,0.0,Closed,21.618479,-157.943953,69.0
23,30,1,49.02999997,0.0,Closed,21.57139,-157.979384,69.0
24,31,1,9.61999968,0.0,Closed,21.56364,-158.185151,69.0
25,32,1,6.66999966,0.0,Closed,21.55775,-157.905396,69.0
26,33,1,58.21999907,0.0,Closed,21.468626,-158.166919,69.0
