,BusNum,BusNum:1,LineCircuit,LineR,LineX,BranchDeviceType,LineStatus,Latitude,Longitude,Latitude:1,Longitude:1,BusNomVolt,LineLimitPercent,LineMVA
0,1,2,1,0.01938,0.05917,Line,Closed,21.342367,-157.9011,21.344246,-157.939889,138,34.33253575,79.92614558
1,1,5,1,0.05403,0.22304,Line,Closed,21.342367,-157.9011,21.316548,-157.845053,138,34.33253575,79.92614558
2,2,3,1,0.04699,0.19797,Line,Closed,21.344246,-157.939889,21.347927,-157.876274,138,12.78297703,22.72813312
3,2,4,1,0.05811,0.17632,Line,Closed,21.344246,-157.939889,21.293143,-157.848767,138,30.56705011,66.33050108
4,2,5,1,0.05695,0.17388,Line,Closed,21.344246,-157.939889,21.316548,-157.845053,138,30.56705011,66.33050108
5,3,4,1,0.06701,0.17103,Line,Closed,21.347927,-157.876274,21.293143,-157.848767,138,21.85333775,61.53899876
6,4,5,1,0.01335,0.04211,Line,Closed,21.293143,-157.848767,21.316548,-157.845053,138,21.85333775,61.53899876
7,4,7,1,0.0000001,0.20912001,Transformer,Closed,21.293143,-157.848767,21.291518,-157.826869,69,15.29121727,9.43468081
8,4,9,1,0.0000001,0.55618,Transformer,Closed,21.293143,-157.848767,21.273462,-157.822444,69,15.29121727,9.43468081
9,5,6,1,0.0000001,0.25202,Transformer,Closed,21.316548,-157.845053,21.316548,-157.845053,69,36.77865588,37.25677883
10,6,11,1,0.09498,0.1989,Line,Closed,21.316548,-157.845053,21.35548,-157.821663,69,36.77865588,37.25677883
11,6,12,1,0.12291,0.25580999,Line,Closed,21.32021,-157.810758,21.32021,-157.810758,69,36.77865588,37.25677883
12,6,13,1,0.06615,0.13027,Line,Closed,21.316548,-157.845053,21.290612,-157.788328,69,54.97902862,45.08280308
13,7,8,1,0.0000001,0.17614999,Line,Closed,21.291518,-157.826869,21.311667,-157.713889,69,50.36118315,39.18100035
14,7,9,1,0.0000001,0.11001,Line,Closed,21.291518,-157.826869,21.273462,-157.822444,69,54.97902862,45.08280308
15,9,10,1,0.03181,0.0845,Line,Closed,21.273462,-157.822444,21.273462,-157.822444,69,55.33626143,36.96462168
16,9,14,1,0.12711,0.27037999,Line,Closed,21.273462,-157.822444,21.395084,-157.758188,69,31.39585766,29.76327349
17,10,11,1,0.08205,0.19207001,Line,Closed,21.273462,-157.822444,21.35548,-157.821663,69,69.34580141,63.52075469
18,12,13,1,0.22092,0.19988,Line,Closed,21.32021,-157.810758,21.290612,-157.788328,69,38.78425012,19.00428293
19,13,14,1,0.17093,0.34801999,Line,Closed,21.290612,-157.788328,21.395084,-157.758188,69,69.34580141,63.52075469
