,BusNum,LoadID,LoadMW,LoadMVR,LoadStatus,Latitude:1,Longitude:1,BusNomVolt
0,2,1,21.69999927,12.70000041,Closed,21.344246,-157.939889,69
1,3,1,94.19999719,18.99999976,Closed,21.347927,-157.876274,69
2,4,1,47.79999852,-3.90000008,Closed,21.293143,-157.848767,69
3,5,1,7.59999976,1.60000008,Closed,21.316548,-157.845053,69
4,6,1,11.20000035,7.5000003,Closed,21.291518,-157.826869,69
5,9,1,29.49999869,16.59999937,Closed,21.451733,-157.824227,69
6,10,1,9.00000036,5.79999983,Closed,21.273462,-157.822444,69
7,11,1,3.50000001,1.79999992,Closed,21.35548,-157.821663,69
8,12,1,6.10000007,1.60000008,Closed,21.32021,-157.810758,69
9,13,1,13.50000054,5.79999983,Closed,21.290612,-157.788328,69
10,14,1,14.90000039,5.00000007,Closed,21.395084,-157.758188,69
